Bucket,Lat,Lon,Medical Emergencies,Medical MFAs,NonMedical Emergencies,NonMedical MFAs,NonStructural Fires,Structural Fires,Total
Lat85Lon71,40.8449,-73.8652,129,2,76,3,6,10,226
Lat85Lon72,40.8449,-73.8596,77,,79,5,4,4,169
Lat85Lon73,40.8449,-73.854,26,,25,2,2,1,56
Lat85Lon74,40.8449,-73.8484,101,2,74,9,3,3,192
Lat85Lon75,40.8449,-73.8428,75,,41,2,3,2,123
Lat85Lon76,40.8449,-73.8372,46,,24,3,1,1,75
Lat85Lon77,40.8449,-73.8316,104,1,50,2,10,7,174
Lat85Lon78,40.8449,-73.826,59,,86,,,9,154
Lat85Lon79,40.8449,-73.8204,29,,37,1,,4,71
Lat85Lon80,40.8449,-73.8148,13,,15,2,3,,33
Lat85Lon85,40.8449,-73.7868,42,,36,2,,4,84
Lat85Lon86,40.8449,-73.7812,1,,1,,,,2
Lat86Lon57,40.8491,-73.9436,31,,23,2,2,6,64
Lat86Lon58,40.8491,-73.938,477,7,637,55,36,36,1248
Lat86Lon59,40.8491,-73.9324,501,4,312,43,23,34,917
Lat86Lon60,40.8491,-73.9268,11,,26,2,2,,41
Lat86Lon61,40.8491,-73.9212,207,2,253,16,9,31,518
Lat86Lon62,40.8491,-73.9156,391,1,432,40,21,86,971
Lat86Lon63,40.8491,-73.91,359,4,312,20,14,53,762
Lat86Lon64,40.8491,-73.9044,456,7,249,19,13,63,807
Lat86Lon65,40.8491,-73.8988,288,1,175,28,22,29,543
Lat86Lon66,40.8491,-73.8932,293,2,260,26,12,48,641
Lat86Lon67,40.8491,-73.8876,162,14,162,23,9,22,392
Lat86Lon68,40.8491,-73.882,179,2,116,14,5,15,331
Lat86Lon69,40.8491,-73.8764,2,,2,,,,4
Lat86Lon70,40.8491,-73.8708,76,,26,1,4,3,110
Lat86Lon71,40.8491,-73.8652,128,1,75,9,4,5,222
Lat86Lon72,40.8491,-73.8596,55,,57,4,3,8,127
Lat86Lon73,40.8491,-73.854,82,1,50,3,1,3,140
Lat86Lon74,40.8491,-73.8484,49,,27,4,1,9,90
Lat86Lon75,40.8491,-73.8428,28,1,30,3,,1,63
Lat86Lon76,40.8491,-73.8372,133,,100,10,2,7,252
Lat86Lon77,40.8491,-73.8316,78,,72,5,10,12,177
Lat86Lon78,40.8491,-73.826,7,,5,,,1,13
Lat86Lon79,40.8491,-73.8204,13,,14,,10,1,38
Lat86Lon80,40.8491,-73.8148,2,,1,1,3,1,8
Lat86Lon85,40.8491,-73.7868,47,2,100,1,3,6,159
Lat87Lon55,40.8533,-73.9548,3,,89,1,3,,96
Lat87Lon57,40.8533,-73.9436,1,,17,,,,18
Lat87Lon58,40.8533,-73.938,143,,154,3,11,15,326
Lat87Lon59,40.8533,-73.9324,314,3,210,27,15,29,598
Lat87Lon60,40.8533,-73.9268,80,,76,2,8,14,180
Lat87Lon61,40.8533,-73.9212,275,,299,28,1,28,631
Lat87Lon62,40.8533,-73.9156,234,4,183,8,8,26,463
Lat87Lon63,40.8533,-73.91,439,4,194,26,12,19,694
Lat87Lon64,40.8533,-73.9044,377,4,345,25,10,40,801
Lat87Lon65,40.8533,-73.8988,321,2,210,14,10,24,581
Lat87Lon66,40.8533,-73.8932,246,1,184,12,8,24,475
Lat87Lon67,40.8533,-73.8876,282,5,166,29,12,29,523
Lat87Lon68,40.8533,-73.882,360,1,234,21,5,54,675
Lat87Lon70,40.8533,-73.8708,36,,27,1,3,3,70
Lat87Lon71,40.8533,-73.8652,277,2,211,5,21,33,549
Lat87Lon72,40.8533,-73.8596,55,,52,,4,5,116
Lat87Lon73,40.8533,-73.854,50,,47,,,3,100
Lat87Lon74,40.8533,-73.8484,4,,18,,,2,24
Lat87Lon75,40.8533,-73.8428,36,,70,1,,6,113
Lat87Lon76,40.8533,-73.8372,126,,26,1,,2,155
Lat87Lon77,40.8533,-73.8316,76,,60,1,2,10,149
Lat87Lon78,40.8533,-73.826,58,,33,4,12,1,108
Lat87Lon82,40.8533,-73.8036,3,,6,,2,,11
Lat87Lon84,40.8533,-73.7924,13,,10,1,,2,26
Lat87Lon85,40.8533,-73.7868,4,,5,1,,,10
Lat88Lon18,40.8575,-74.162,3,,3,1,,1,8
Lat88Lon58,40.8575,-73.938,78,2,58,3,3,1,145
Lat88Lon59,40.8575,-73.9324,243,,252,10,16,15,536
Lat88Lon60,40.8575,-73.9268,181,,150,6,20,14,371
Lat88Lon61,40.8575,-73.9212,2,,7,,2,,11
Lat88Lon62,40.8575,-73.9156,78,,74,5,5,32,194
Lat88Lon63,40.8575,-73.91,116,1,128,14,7,32,298
Lat88Lon64,40.8575,-73.9044,403,7,279,27,17,46,779
Lat88Lon65,40.8575,-73.8988,353,,236,22,16,37,664
Lat88Lon66,40.8575,-73.8932,264,,255,14,8,26,567
Lat88Lon67,40.8575,-73.8876,200,3,147,25,12,42,429
Lat88Lon68,40.8575,-73.882,76,2,53,6,8,5,150
Lat88Lon70,40.8575,-73.8708,91,1,78,9,4,10,193
Lat88Lon71,40.8575,-73.8652,232,1,182,10,15,12,452
Lat88Lon72,40.8575,-73.8596,68,,56,9,2,6,141
Lat88Lon73,40.8575,-73.854,77,,50,3,2,6,138
Lat88Lon74,40.8575,-73.8484,32,,105,17,2,6,162
Lat88Lon75,40.8575,-73.8428,69,,46,1,5,2,123
Lat88Lon76,40.8575,-73.8372,31,,40,,2,4,77
Lat88Lon77,40.8575,-73.8316,25,,16,2,1,2,46
Lat88Lon84,40.8575,-73.7924,14,,16,,5,3,38
Lat88Lon85,40.8575,-73.7868,2,,1,,,,3
Lat89Lon59,40.8617,-73.9324,27,,44,13,4,5,93
Lat89Lon60,40.8617,-73.9268,450,7,322,9,22,36,846
Lat89Lon61,40.8617,-73.9212,226,1,235,14,14,15,505
Lat89Lon62,40.8617,-73.9156,21,1,49,10,3,4,88
Lat89Lon63,40.8617,-73.91,350,2,261,31,16,31,691
Lat89Lon64,40.8617,-73.9044,265,2,136,17,8,24,452
Lat89Lon65,40.8617,-73.8988,569,12,290,38,26,34,969
Lat89Lon66,40.8617,-73.8932,533,,279,48,23,43,926
Lat89Lon67,40.8617,-73.8876,90,,50,14,3,8,165
Lat89Lon70,40.8617,-73.8708,112,1,95,3,5,13,229
Lat89Lon71,40.8617,-73.8652,214,,293,12,19,21,559
Lat89Lon72,40.8617,-73.8596,176,1,201,6,8,17,409
Lat89Lon73,40.8617,-73.854,55,,50,5,1,5,116
Lat89Lon74,40.8617,-73.8484,53,,52,2,2,9,118
Lat89Lon75,40.8617,-73.8428,33,,49,1,3,3,89
Lat89Lon76,40.8617,-73.8372,14,,25,,,4,43
Lat89Lon77,40.8617,-73.8316,88,,28,6,1,2,125
Lat89Lon78,40.8617,-73.826,33,1,40,1,1,15,91
Lat89Lon79,40.8617,-73.8204,73,,108,1,1,21,204
Lat8Lon10,40.5215,-74.2068,9,,9,1,,,19
Lat8Lon11,40.5215,-74.2012,4,,,1,,,5
Lat8Lon12,40.5215,-74.1956,14,,11,2,2,8,37
Lat8Lon13,40.5215,-74.19,6,,6,,,2,14
Lat8Lon14,40.5215,-74.1844,1,,4,2,1,,8
Lat8Lon15,40.5215,-74.1788,2,,5,1,,1,9
Lat8Lon4,40.5215,-74.2404,3,,4,,1,,8
Lat8Lon5,40.5215,-74.2348,16,,12,,,,28
Lat8Lon6,40.5215,-74.2292,4,,5,,,,9
Lat8Lon7,40.5215,-74.2236,1,,5,,,,6
Lat8Lon8,40.5215,-74.218,25,,16,3,2,,46
Lat8Lon9,40.5215,-74.2124,10,,12,,2,2,26
Lat90Lon59,40.8659,-73.9324,27,2,15,1,5,2,52
Lat90Lon60,40.8659,-73.9268,231,2,158,4,9,15,419
Lat90Lon61,40.8659,-73.9212,334,6,188,13,15,23,579
Lat90Lon62,40.8659,-73.9156,13,,3,,,,16
Lat90Lon63,40.8659,-73.91,38,,86,2,,5,131
Lat90Lon64,40.8659,-73.9044,204,6,135,8,8,25,386
Lat90Lon65,40.8659,-73.8988,256,7,119,13,8,18,421
Lat90Lon66,40.8659,-73.8932,418,2,246,28,8,56,758
Lat90Lon67,40.8659,-73.8876,214,1,174,36,12,16,453
Lat90Lon68,40.8659,-73.882,5,,1,4,,1,11
Lat90Lon70,40.8659,-73.8708,267,1,198,16,18,27,527
Lat90Lon71,40.8659,-73.8652,202,2,153,4,12,21,394
Lat90Lon72,40.8659,-73.8596,50,,39,4,1,,94
Lat90Lon73,40.8659,-73.854,58,1,49,,,14,122
Lat90Lon74,40.8659,-73.8484,26,,32,3,1,8,70
Lat90Lon75,40.8659,-73.8428,124,1,55,2,3,15,200
Lat90Lon76,40.8659,-73.8372,33,,42,2,4,6,87
Lat90Lon77,40.8659,-73.8316,10,,23,1,,3,37
Lat90Lon78,40.8659,-73.826,79,,91,1,1,14,186
Lat90Lon79,40.8659,-73.8204,,,1,,,,1
Lat90Lon81,40.8659,-73.8092,17,1,11,4,5,,38
Lat90Lon84,40.8659,-73.7924,3,,3,,2,,8
Lat91Lon59,40.8701,-73.9324,2,,7,,,,9
Lat91Lon60,40.8701,-73.9268,17,1,36,4,5,2,65
Lat91Lon61,40.8701,-73.9212,202,1,138,17,20,13,391
Lat91Lon62,40.8701,-73.9156,89,1,87,6,16,4,203
Lat91Lon63,40.8701,-73.91,,,1,,,,1
Lat91Lon64,40.8701,-73.9044,203,2,125,7,5,63,405
Lat91Lon65,40.8701,-73.8988,186,3,115,10,9,21,344
Lat91Lon66,40.8701,-73.8932,226,4,240,26,3,21,520
Lat91Lon67,40.8701,-73.8876,317,2,199,17,13,35,583
Lat91Lon68,40.8701,-73.882,212,5,195,21,9,45,487
Lat91Lon69,40.8701,-73.8764,75,1,45,13,3,5,142
Lat91Lon70,40.8701,-73.8708,64,,88,3,4,9,168
Lat91Lon71,40.8701,-73.8652,146,,87,4,6,14,257
Lat91Lon72,40.8701,-73.8596,80,,69,7,,4,160
Lat91Lon73,40.8701,-73.854,124,4,187,6,2,21,344
Lat91Lon74,40.8701,-73.8484,64,,75,9,1,11,160
Lat91Lon75,40.8701,-73.8428,62,,56,10,5,9,142
Lat91Lon76,40.8701,-73.8372,58,,70,4,3,16,151
Lat91Lon77,40.8701,-73.8316,246,5,206,12,10,24,503
Lat91Lon78,40.8701,-73.826,162,,125,7,6,11,311
Lat91Lon81,40.8701,-73.8092,4,,7,,,,11
Lat92Lon62,40.8743,-73.9156,27,,46,4,3,4,84
Lat92Lon63,40.8743,-73.91,142,1,295,21,10,28,497
Lat92Lon64,40.8743,-73.9044,191,,271,23,14,33,532
Lat92Lon65,40.8743,-73.8988,118,1,136,8,6,14,283
Lat92Lon66,40.8743,-73.8932,38,,11,,2,2,53
Lat92Lon67,40.8743,-73.8876,195,2,140,9,10,20,376
Lat92Lon68,40.8743,-73.882,113,1,79,5,3,12,213
Lat92Lon69,40.8743,-73.8764,197,1,134,24,10,31,397
Lat92Lon70,40.8743,-73.8708,47,,56,5,1,9,118
Lat92Lon71,40.8743,-73.8652,119,,201,9,5,5,339
Lat92Lon72,40.8743,-73.8596,138,,59,14,1,14,226
Lat92Lon73,40.8743,-73.854,91,2,56,18,,8,175
Lat92Lon74,40.8743,-73.8484,38,,38,2,1,9,88
Lat92Lon75,40.8743,-73.8428,50,,54,2,,8,114
Lat92Lon76,40.8743,-73.8372,56,1,35,3,3,9,107
Lat92Lon77,40.8743,-73.8316,99,2,96,2,1,22,222
Lat92Lon78,40.8743,-73.826,171,,141,2,2,34,350
Lat92Lon81,40.8743,-73.8092,4,,10,,,,14
Lat92Lon82,40.8743,-73.8036,1,,1,,,,2
Lat93Lon17,40.8785,-74.1676,2,,44,,1,,47
Lat93Lon61,40.8785,-73.9212,16,,36,2,6,,60
Lat93Lon62,40.8785,-73.9156,128,1,51,3,1,7,191
Lat93Lon63,40.8785,-73.91,97,1,62,4,5,8,177
Lat93Lon64,40.8785,-73.9044,201,1,321,21,7,17,568
Lat93Lon65,40.8785,-73.8988,137,,234,12,5,7,395
Lat93Lon67,40.8785,-73.8876,91,1,83,9,11,18,213
Lat93Lon68,40.8785,-73.882,102,,141,22,8,8,281
Lat93Lon69,40.8785,-73.8764,166,1,158,16,14,12,367
Lat93Lon70,40.8785,-73.8708,189,1,167,45,7,24,433
Lat93Lon71,40.8785,-73.8652,268,2,257,53,6,39,625
Lat93Lon72,40.8785,-73.8596,85,2,112,28,8,15,250
Lat93Lon73,40.8785,-73.854,114,,77,5,9,17,222
Lat93Lon74,40.8785,-73.8484,115,1,92,17,4,15,244
Lat93Lon75,40.8785,-73.8428,78,2,73,9,,7,169
Lat93Lon76,40.8785,-73.8372,140,3,63,6,7,5,224
Lat93Lon77,40.8785,-73.8316,59,,55,1,1,12,128
Lat93Lon78,40.8785,-73.826,180,1,147,4,2,21,355
Lat94Lon61,40.8827,-73.9212,27,,11,,1,4,43
Lat94Lon62,40.8827,-73.9156,124,,74,6,1,28,233
Lat94Lon63,40.8827,-73.91,48,,56,5,5,4,118
Lat94Lon64,40.8827,-73.9044,118,1,141,8,6,13,287
Lat94Lon65,40.8827,-73.8988,38,,60,4,3,6,111
Lat94Lon66,40.8827,-73.8932,95,,63,8,2,12,180
Lat94Lon67,40.8827,-73.8876,45,,30,3,3,3,84
Lat94Lon68,40.8827,-73.882,291,6,323,41,22,29,712
Lat94Lon69,40.8827,-73.8764,117,,97,5,6,22,247
Lat94Lon71,40.8827,-73.8652,190,1,72,27,5,45,340
Lat94Lon72,40.8827,-73.8596,122,2,112,23,6,17,282
Lat94Lon73,40.8827,-73.854,66,3,67,14,2,19,171
Lat94Lon74,40.8827,-73.8484,57,,85,5,3,10,160
Lat94Lon75,40.8827,-73.8428,92,1,139,4,2,16,254
Lat94Lon76,40.8827,-73.8372,78,2,58,10,3,7,158
Lat94Lon77,40.8827,-73.8316,94,,197,7,3,2,303
Lat94Lon78,40.8827,-73.826,15,,46,3,4,4,72
Lat94Lon79,40.8827,-73.8204,,,4,,,,4
Lat95Lon61,40.8869,-73.9212,2,,4,,,,6
Lat95Lon62,40.8869,-73.9156,29,,21,3,1,4,58
Lat95Lon63,40.8869,-73.91,172,6,205,11,14,13,421
Lat95Lon64,40.8869,-73.9044,56,1,50,12,1,9,129
Lat95Lon65,40.8869,-73.8988,80,1,81,6,8,12,188
Lat95Lon66,40.8869,-73.8932,18,,28,1,,5,52
Lat95Lon67,40.8869,-73.8876,33,1,19,2,4,6,65
Lat95Lon69,40.8869,-73.8764,52,1,16,4,4,4,81
Lat95Lon71,40.8869,-73.8652,117,,135,26,4,28,310
Lat95Lon72,40.8869,-73.8596,197,,104,30,4,22,357
Lat95Lon73,40.8869,-73.854,85,,68,8,5,6,172
Lat95Lon74,40.8869,-73.8484,93,,65,6,2,25,191
Lat95Lon75,40.8869,-73.8428,175,1,235,9,5,26,451
Lat95Lon76,40.8869,-73.8372,16,,24,1,5,4,50
Lat95Lon77,40.8869,-73.8316,56,3,45,12,4,5,125
Lat95Lon78,40.8869,-73.826,21,,31,3,2,1,58
Lat95Lon79,40.8869,-73.8204,9,,15,,2,,26
Lat95Lon81,40.8869,-73.8092,2,,2,,1,,5
Lat96Lon62,40.8911,-73.9156,18,,20,,,1,39
Lat96Lon63,40.8911,-73.91,36,,37,1,1,7,82
Lat96Lon64,40.8911,-73.9044,29,,47,9,,7,92
Lat96Lon65,40.8911,-73.8988,60,,40,3,4,2,109
Lat96Lon69,40.8911,-73.8764,,,,2,,,2
Lat96Lon71,40.8911,-73.8652,53,,69,17,4,11,154
Lat96Lon72,40.8911,-73.8596,95,,81,14,7,7,204
Lat96Lon73,40.8911,-73.854,100,,89,7,4,16,216
Lat96Lon74,40.8911,-73.8484,43,,53,4,3,6,109
Lat96Lon75,40.8911,-73.8428,49,,62,3,1,10,125
Lat96Lon76,40.8911,-73.8372,38,,37,6,,7,88
Lat96Lon77,40.8911,-73.8316,16,,17,3,,2,38
Lat97Lon62,40.8953,-73.9156,2,,7,,2,,11
Lat97Lon63,40.8953,-73.91,14,,14,,,5,33
Lat97Lon64,40.8953,-73.9044,3,,14,,,1,18
Lat97Lon65,40.8953,-73.8988,24,,29,,1,7,61
Lat97Lon68,40.8953,-73.882,17,3,37,1,7,1,66
Lat97Lon69,40.8953,-73.8764,6,,16,3,,,25
Lat97Lon70,40.8953,-73.8708,20,,16,3,1,2,42
Lat97Lon71,40.8953,-73.8652,43,,56,4,6,7,116
Lat97Lon72,40.8953,-73.8596,186,,149,13,10,9,367
Lat97Lon73,40.8953,-73.854,116,,99,6,5,9,235
Lat97Lon74,40.8953,-73.8484,58,1,41,6,3,8,117
Lat97Lon75,40.8953,-73.8428,64,,66,5,5,17,157
Lat97Lon76,40.8953,-73.8372,15,,13,4,1,3,36
Lat98Lon63,40.8995,-73.91,,,15,1,,3,19
Lat98Lon64,40.8995,-73.9044,16,,36,1,,3,56
Lat98Lon65,40.8995,-73.8988,70,,34,5,1,4,114
Lat98Lon69,40.8995,-73.8764,4,,9,,,4,17
Lat98Lon70,40.8995,-73.8708,25,1,25,1,4,2,58
Lat98Lon71,40.8995,-73.8652,78,,37,7,3,1,126
Lat98Lon72,40.8995,-73.8596,110,,31,6,4,3,154
Lat98Lon73,40.8995,-73.854,157,1,106,2,7,13,286
Lat98Lon74,40.8995,-73.8484,56,,50,4,3,6,119
Lat98Lon75,40.8995,-73.8428,36,,37,5,1,8,87
Lat99Lon63,40.9037,-73.91,7,,31,,2,6,46
Lat99Lon64,40.9037,-73.9044,92,,62,2,2,8,166
Lat99Lon65,40.9037,-73.8988,46,,52,2,3,11,114
Lat99Lon70,40.9037,-73.8708,10,,1,4,,,15
Lat99Lon71,40.9037,-73.8652,22,,10,2,,,34
Lat99Lon73,40.9037,-73.854,69,,35,11,1,4,120
Lat99Lon74,40.9037,-73.8484,127,1,123,22,3,12,288
Lat99Lon75,40.9037,-73.8428,38,,30,9,1,5,83
Lat9Lon10,40.5257,-74.2068,7,,5,2,,3,17
Lat9Lon11,40.5257,-74.2012,15,,16,3,3,1,38
Lat9Lon12,40.5257,-74.1956,2,,1,,,,3
Lat9Lon14,40.5257,-74.1844,6,,5,1,,,12
Lat9Lon15,40.5257,-74.1788,4,,7,3,,1,15
Lat9Lon16,40.5257,-74.1732,5,,11,2,,,18
Lat9Lon17,40.5257,-74.1676,11,,11,,,2,24
Lat9Lon18,40.5257,-74.162,1,,2,,1,2,6
Lat9Lon3,40.5257,-74.246,1,,3,,,,4
Lat9Lon5,40.5257,-74.2348,,,1,,,,1
Lat9Lon6,40.5257,-74.2292,12,,18,1,1,5,37
Lat9Lon8,40.5257,-74.218,8,,17,3,1,2,31
Lat9Lon9,40.5257,-74.2124,4,,6,,,,10
