Bucket,Lat,Lon,Medical Emergencies,Medical MFAs,NonMedical Emergencies,NonMedical MFAs,NonStructural Fires,Structural Fires,Total
Lat82Lon65,40.8323,-73.8988,197,1,179,31,15,46,469
Lat82Lon66,40.8323,-73.8932,200,2,123,12,9,19,365
Lat82Lon67,40.8323,-73.8876,217,1,147,18,19,15,417
Lat82Lon68,40.8323,-73.882,111,,64,,5,13,193
Lat82Lon69,40.8323,-73.8764,217,4,280,8,8,24,541
Lat82Lon70,40.8323,-73.8708,123,,119,10,,12,264
Lat82Lon71,40.8323,-73.8652,126,,55,6,2,11,200
Lat82Lon72,40.8323,-73.8596,351,11,456,17,24,26,885
Lat82Lon73,40.8323,-73.854,131,1,105,5,7,6,255
Lat82Lon74,40.8323,-73.8484,84,1,76,3,2,9,175
Lat82Lon75,40.8323,-73.8428,19,,33,2,2,6,62
Lat82Lon77,40.8323,-73.8316,11,,6,,1,3,21
Lat82Lon78,40.8323,-73.826,50,,47,,1,6,104
Lat82Lon79,40.8323,-73.8204,27,,25,2,1,1,56
Lat82Lon80,40.8323,-73.8148,10,,16,1,,1,28
Lat83Lon56,40.8365,-73.9492,107,,87,3,6,15,218
Lat83Lon57,40.8365,-73.9436,399,2,353,22,23,28,827
Lat83Lon58,40.8365,-73.938,330,6,329,16,27,23,731
Lat83Lon59,40.8365,-73.9324,121,2,280,4,,9,416
Lat83Lon60,40.8365,-73.9268,352,2,342,35,23,40,794
Lat83Lon61,40.8365,-73.9212,221,3,162,15,7,40,448
Lat83Lon62,40.8365,-73.9156,320,4,233,18,11,36,622
Lat83Lon63,40.8365,-73.91,366,3,408,20,10,49,856
Lat83Lon64,40.8365,-73.9044,319,3,670,34,11,46,1083
Lat83Lon65,40.8365,-73.8988,107,,77,8,6,13,211
Lat83Lon66,40.8365,-73.8932,109,1,65,6,3,18,202
Lat83Lon67,40.8365,-73.8876,260,1,221,30,8,73,593
Lat83Lon68,40.8365,-73.882,110,,242,10,11,12,385
Lat83Lon69,40.8365,-73.8764,60,1,98,8,2,10,179
Lat83Lon70,40.8365,-73.8708,143,4,101,10,6,22,286
Lat83Lon71,40.8365,-73.8652,232,,121,10,7,20,390
