Address,Lat,Lon
"AVE F & EAST 5 ST, New York, NY 11218",40.633591,-73.973654
"BROADWAY & W 44 ST, New York, NY 10036",40.757243,-73.98578
"COLONIAL RD & 92 ST, New York, NY 11209",40.620597,-74.038097
"91 AVE & 121 ST, New York, NY NA",40.696453,-73.826811
"WARING AVE & FENTON AVE, New York, NY 10469",40.860918,-73.84452
"BROADWAY & 8 ST, New York, NY 10003",40.730577,-73.992424
"112 AVE & 199 ST, New York, NY 11412",40.702472,-73.756793
"72 AVE & INGRAM ST, New York, NY 11375",40.71379,-73.846123
"INDEPENDENCE AVE & KAPPOCK ST, New York, NY 10463",40.880696,-73.919305
"PATCHEN & GREENE AVES, New York, NY 11221",40.691097,-73.927698
"LONGFELLOW AVE & 165 ST, New York, NY 10459",40.825228,-73.887789
"HUDSON & NORTH MOORE STS, New York, NY 10013",40.719958,-74.008586
"29 AVE & 210 PL, New York, NY 11360",40.774328,-73.778754
"HOWARD AVE & ST MARKS AVE, New York, NY 11233",40.673528,-73.919563
"POWELL BLVD & W 136 ST, New York, NY 10030",40.815933,-73.943118
"CROSS BX XWAY BET WEBSTER AVE & 3 AVE, New York, NY 10457",40.845639,-73.902056
"BROADWAY & 151 ST, New York, NY 10031",40.830195,-73.947597
"BROADWAY & W 35 ST, New York, NY 10018",40.750699,-73.987832
"PARK AVE & E 128 ST, New York, NY 10035",40.807032,-73.937768
"AVENUE W & BATCHELDER ST, New York, NY 11229",40.59623,-73.938184
"GRAND AVE & CLIFTON PL, New York, NY 11238",40.687828,-73.962693
"SEAVIEW AVE & ERSKINE ST, New York, NY 11239",40.652875,-73.866646
"FOSTER AVE & NEW YORK AVE, New York, NY 11210",40.63879,-73.945373
"UNION AVE & 155 ST, New York, NY 10455",40.816509,-73.903963
"WHITEHALL & SOUTH STS, New York, NY 10004",40.701503,-74.012465
"FARRAGUT RD & E 38 ST, New York, NY 11210",40.636743,-73.940348
"IRVING AVE & PALMETTO ST, New York, NY 11237",40.697979,-73.912555
